rank,name,year
201,University of Kiel,2016
201,Université Laval,2016
201,Medical University of Vienna,2016
201,"Northeastern University, US",2016
201,Oregon Health and Science University,2016
201,University of Otago,2016
201,University of Ottawa,2016
201,Paris Descartes University,2016
201,Peter the Great St Petersburg Polytechnic University,2016
201,Politecnico di Milano,2016
201,Royal Veterinary College,2016
201,Rush University,2016
201,Sapienza University of Rome,2016
201,University of Science and Technology of China,2016
201,University of South Florida (Tampa),2016
201,Stony Brook University,2016
201,University of Stuttgart,2016
201,Swedish University of Agricultural Sciences,2016
201,Technical University of Darmstadt,2016
201,Tel Aviv University,2016
201,University of Texas at Dallas,2016
201,Tilburg University,2016
201,Tohoku University,2016
201,Tokyo Institute of Technology,2016
201,University of Victoria,2016
201,Wake Forest University,2016
201,Western University,2016
201,William & Mary,2016
201,University of the Witwatersrand,2016
251,Aalto University,2016
251,Aix-Marseille University,2016
251,University of Bath,2016
251,University of Bayreuth,2016
251,Bielefeld University,2016
251,University of Bordeaux,2016
251,Charles Darwin University,2016
251,Colorado School of Mines,2016
251,"Colorado State University, Fort Collins",2016
251,University of Delaware,2016
251,Flinders University,2016
251,University of Georgia,2016
251,Griffith University,2016
251,Indian Institute of Science,2016
251,Iowa State University,2016
251,James Cook University,2016
251,Justus Liebig University Giessen,2016
251,King Abdulaziz University,2016
251,Koç University,2016
251,Korea University,2016
251,University of Liège,2016
251,Linköping University,2016
251,Nanjing University,2016
251,National Tsing Hua University,2016
251,University of Galway,2016
251,University of Newcastle,2016
251,North Carolina State University,2016
251,National Research Nuclear University MEPhI,2016
251,Oregon State University,2016
251,Osaka University,2016
251,Queen’s University,2016
251,Technion Israel Institute of Technology,2016
251,Queensland University of Technology,2016
251,Rensselaer Polytechnic Institute,2016
251,RCSI University of Medicine and Health Sciences,2016
251,Ruhr University Bochum,2016
251,Saint Louis University,2016
251,Paris-Sorbonne University – Paris 4,2016
251,Simon Fraser University,2016
251,University of Surrey,2016
251,Syracuse University,2016
251,University of Tasmania,2016
251,The University of Tennessee-Knoxville,2016
251,Tomsk Polytechnic University,2016
251,Tulane University,2016
251,Umeå University,2016
251,TU Wien,2016
251,Virginia Polytechnic Institute and State University,2016
251,University of Wollongong,2016
251,Zhejiang University,2016
301,Aberystwyth University,2016
301,University of Alaska Fairbanks,2016
301,Autonomous University of Madrid,2016
301,Bangor University,2016
301,University of Bremen,2016
301,University of Cincinnati – Uptown,2016
301,University of Connecticut,2016
301,Deakin University,2016
301,University of Essex,2016
301,George Mason University,2016
301,University of Greifswald,2016
301,Gwangju Institute of Science and Technology (GIST),2016
301,University of Hohenheim,2016
301,University of Innsbruck,2016
301,Kazan Federal University,2016
301,University of Kent,2016
301,Leibniz University Hannover,2016
301,Macquarie University,2016
301,Medical College of Wisconsin,2016
